"Date","Start (ET)","Visitor/Neutral","PTS...4","Home/Neutral","PTS...6","...7","...8","Attend.","Arena","Notes","Miami"
"Wed, Oct 19, 2022","7:30p","Chicago Bulls",116,"Miami Heat",108,"Box Score",NA,19600,"Kaseya Center",NA,108
"Fri, Oct 21, 2022","7:30p","Boston Celtics",111,"Miami Heat",104,"Box Score",NA,19600,"Kaseya Center",NA,104
"Sat, Oct 22, 2022","8:00p","Toronto Raptors",109,"Miami Heat",112,"Box Score",NA,19600,"Kaseya Center",NA,112
"Mon, Oct 24, 2022","7:30p","Toronto Raptors",98,"Miami Heat",90,"Box Score",NA,19600,"Kaseya Center",NA,90
"Wed, Oct 26, 2022","10:00p","Miami Heat",119,"Portland Trail Blazers",98,"Box Score",NA,18588,"Moda Center",NA,119
"Thu, Oct 27, 2022","10:00p","Miami Heat",110,"Golden State Warriors",123,"Box Score",NA,18064,"Chase Center",NA,110
"Sat, Oct 29, 2022","6:00p","Miami Heat",113,"Sacramento Kings",119,"Box Score",NA,14618,"Golden 1 Center",NA,113
"Tue, Nov 1, 2022","7:30p","Golden State Warriors",109,"Miami Heat",116,"Box Score",NA,19600,"Kaseya Center",NA,116
"Wed, Nov 2, 2022","7:30p","Sacramento Kings",107,"Miami Heat",110,"Box Score",NA,19600,"Kaseya Center",NA,110
"Fri, Nov 4, 2022","7:00p","Miami Heat",99,"Indiana Pacers",101,"Box Score",NA,13141,"Gainbridge Fieldhouse",NA,99
"Mon, Nov 7, 2022","8:30p","Portland Trail Blazers",110,"Miami Heat",107,"Box Score",NA,19600,"Kaseya Center",NA,107
"Thu, Nov 10, 2022","7:30p","Charlotte Hornets",112,"Miami Heat",117,"Box Score","OT",19600,"Kaseya Center",NA,117
"Sat, Nov 12, 2022","8:00p","Charlotte Hornets",115,"Miami Heat",132,"Box Score",NA,19600,"Kaseya Center",NA,132
"Mon, Nov 14, 2022","7:30p","Phoenix Suns",112,"Miami Heat",113,"Box Score",NA,19600,"Kaseya Center",NA,113
"Wed, Nov 16, 2022","7:30p","Miami Heat",104,"Toronto Raptors",112,"Box Score",NA,19800,"Scotiabank Arena",NA,104
"Fri, Nov 18, 2022","7:00p","Miami Heat",106,"Washington Wizards",107,"Box Score","OT",18772,"Capital One Arena",NA,106
"Sun, Nov 20, 2022","7:00p","Miami Heat",87,"Cleveland Cavaliers",113,"Box Score",NA,19432,"Rocket Mortgage Fieldhouse",NA,87
"Mon, Nov 21, 2022","8:00p","Miami Heat",101,"Minnesota Timberwolves",105,"Box Score",NA,16583,"Target Center",NA,101
"Wed, Nov 23, 2022","7:30p","Washington Wizards",105,"Miami Heat",113,"Box Score",NA,19600,"Kaseya Center",NA,113
"Fri, Nov 25, 2022","8:00p","Washington Wizards",107,"Miami Heat",110,"Box Score",NA,19600,"Kaseya Center",NA,110
"Sun, Nov 27, 2022","5:00p","Miami Heat",106,"Atlanta Hawks",98,"Box Score",NA,17268,"State Farm Arena",NA,106
"Wed, Nov 30, 2022","7:30p","Miami Heat",121,"Boston Celtics",134,"Box Score",NA,19156,"TD Garden",NA,121
"Fri, Dec 2, 2022","7:30p","Miami Heat",120,"Boston Celtics",116,"Box Score","OT",19156,"TD Garden",NA,120
"Mon, Dec 5, 2022","8:00p","Miami Heat",93,"Memphis Grizzlies",101,"Box Score",NA,16122,"FedEx Forum",NA,93
"Tue, Dec 6, 2022","7:30p","Detroit Pistons",116,"Miami Heat",96,"Box Score",NA,19600,"Kaseya Center",NA,96
"Thu, Dec 8, 2022","7:30p","Los Angeles Clippers",110,"Miami Heat",115,"Box Score",NA,19600,"Kaseya Center",NA,115
"Sat, Dec 10, 2022","5:00p","San Antonio Spurs",115,"Miami Heat",111,"Box Score",NA,19600,"Kaseya Center",NA,111
"Mon, Dec 12, 2022","7:00p","Miami Heat",87,"Indiana Pacers",82,"Box Score",NA,15309,"Gainbridge Fieldhouse",NA,87
"Wed, Dec 14, 2022","8:00p","Miami Heat",110,"Oklahoma City Thunder",108,"Box Score",NA,14783,"Paycom Center",NA,110
"Thu, Dec 15, 2022","8:00p","Miami Heat",111,"Houston Rockets",108,"Box Score",NA,16210,"Toyota Center",NA,111
"Sat, Dec 17, 2022","5:00p","Miami Heat",111,"San Antonio Spurs",101,"Box Score",NA,20160,"Mexico City Arena",NA,111
"Tue, Dec 20, 2022","7:30p","Chicago Bulls",113,"Miami Heat",103,"Box Score",NA,19969,"Kaseya Center",NA,103
"Fri, Dec 23, 2022","8:00p","Indiana Pacers",111,"Miami Heat",108,"Box Score",NA,19600,"Kaseya Center",NA,108
"Mon, Dec 26, 2022","7:30p","Minnesota Timberwolves",110,"Miami Heat",113,"Box Score",NA,19911,"Kaseya Center",NA,113
"Wed, Dec 28, 2022","7:30p","Los Angeles Lakers",98,"Miami Heat",112,"Box Score",NA,20221,"Kaseya Center",NA,112
"Fri, Dec 30, 2022","9:00p","Miami Heat",119,"Denver Nuggets",124,"Box Score",NA,19638,"Ball Arena",NA,119
"Sat, Dec 31, 2022","9:00p","Miami Heat",126,"Utah Jazz",123,"Box Score",NA,18206,"Vivint Arena",NA,126
"Mon, Jan 2, 2023","10:30p","Miami Heat",110,"Los Angeles Clippers",100,"Box Score",NA,19068,"Crypto.com Arena",NA,110
"Wed, Jan 4, 2023","10:00p","Miami Heat",109,"Los Angeles Lakers",112,"Box Score",NA,18997,"Crypto.com Arena",NA,109
